state,sales,profit
California,457687.6315,76381.38709999999
New York,310876.271,74038.5486
Washington,138641.27,33402.6517
Michigan,76269.614,24463.1876
Virginia,70636.72,18597.9504
Indiana,53555.36,18382.9363
Georgia,49095.84,16250.0433
Kentucky,36591.75,11199.6966
Minnesota,29863.15,10823.1874
Delaware,27451.069,9977.3748
New Jersey,35764.312,9772.9138
Wisconsin,32114.61,8401.8004
Rhode Island,22627.956,7285.6293000000005
Maryland,23705.523,7031.1788
Massachusetts,28634.434,6785.5016000000005
Missouri,22205.15,6436.2105
Alabama,19510.64,5786.8253
Oklahoma,19683.39,4853.956
Arkansas,11678.13,4008.6871
Connecticut,13384.357,3511.4918
Nevada,16729.102,3316.7659
Mississippi,10771.34,3172.9762
Utah,11220.056,2546.5335
Vermont,8929.369999999999,2244.9782999999998
Louisiana,9217.03,2196.1023
Nebraska,7464.93,2037.0942000000002
Montana,5589.352,1833.3285
South Carolina,8481.71,1769.0566
New Hampshire,7292.524,1706.5028
Iowa,4579.76,1183.8119
New Mexico,4783.522,1157.1161
District of Columbia,2865.02,1059.5892999999999
Kansas,2914.31,836.4435
Idaho,4382.486,826.7231
Maine,1270.53,454.4862
South Dakota,1315.56,394.8283
North Dakota,919.91,230.1497
West Virginia,1209.824,185.9216
Wyoming,1603.136,100.196
Oregon,17431.15,-1190.4705
Florida,89473.708,-3399.3017000000004
Arizona,35282.001,-3427.9246
Tennessee,30661.873,-5341.6936
Colorado,32108.118,-6527.8579
North Carolina,55603.164,-7490.9122
Illinois,80166.101,-12607.887
Pennsylvania,116511.914,-15559.9603
Ohio,78258.136,-16971.3766
Texas,170188.0458,-25729.3563
